Comment,Initial Reply,Replies,Likes
"American: boarding up stores the day before the presidential election
Why: “this is America”",:expressionless_face::black_heart:,3,676
"People are saying ""he predicted 2020"" no he didn't this is has happening for hundreds of years and still hasn't fixed itself, No justice No peace.",F A C T S,5,273
"POV: The votes are all in, the 46th president of the USA is decided, everyone loses it, riots break out, looting, killing, the beginning of the downfall of this entire country. Civil War 2. The camera slowly pans out as the beat to this song drops while the rest of the world watches and laughs.","Oh yeah i’m gonna laugh alright, y’all fucked in the head on a comedic level",42,309
"Me: *laughing at ww3 memes*
Also me: realising this isn't a mfing joke an even rappers was tryna worn us about the end of the world...","Fuck, dude",14,252
donald just letting us know hes talented at every single thing hes ever done,FG I’m so fucking excited for this new wave. The song on SNL was pure old Gambino funk vibes as well :fire:,18,2330
This is gonna be nostalgic one day  and that scares me,Not if you die today,3,96
"My take on this song is this:

America is FUCKED up, and no one really pays attention to this fact—whether it be via trends, cells, or other avoidance means. 

This can be shown by simply looking away from the dancers. As soon as you do, a full-scale public outlash will become apparent. People shouting, pushing, and destroying property. Police are present as well, as are people who seem to be enjoying the chaos. Our minds is completely aware of the violence occurring in the background, but we instead opt to push them out, and focus on Gambino and his dancers. 

In the end of the video, the scene with the cars is quite unnerving. My take on the reason it's so unnerving is because there we're people there just a second ago—and now the place is completely empty. 

You'll notice that Gambino looks to be having fun in the beginning of the video, and with the church choir as well, but as soon as he gets bored, the people die. This, to me, looks to be a representation of just how easy it is to be entertained in the modern era. With cell phones, computers, and the internet at our disposal, boredom is practically nonexistent.",Lemon Bery TLDR :face_with_tears_of_joy:,2,38
Place where bullets won't work: AMERICA has left the chat,"Didar Tolegen bullets work fine here when used response fully and when they aren’t in liberal gun control cities. Americans own the most guns in the world yet death by gun is extremely low in the country compared to other things. Cars kill more people than guns in the USA, should we get rid of cars!",3,380
"When you got soap i your eye, but you tryna see the demon i  the shower with you...
0:40",HAHAHAHAHHAHAHAHAHAHAHAHAHHAHAHAHAHAHAH Thats so true,1,53
"NO JUSTICE, NO PEACE 
GEORGE FLOYD 
BREONNA TAYLOR
AHMAUD ARBERY
OSCAR GRANT
TRAYVON MARTIN
TAMIR RICE
SANDRA BLAND
MIKE BROWN
FREDDIE GRAY
ERIC GARNER
PHILANDO CASTILE
SAMUEL DUBOSE
WALTER SCOTT
TERRENCE CRUTCHER
KATHRYN JOHNSTON
SEAN BELL
AMADOU DIALLO
KIMANI GRAY
AND COUNTLESS OTHERS
FEEL FREE TO ADD MORE NAMES IF YA'LL WANT! LET THEIR NAMES BE HEARD!
#BLACKLIVESMATTER 👊🏽👊🏾👊🏿",https://www.washingtonpost.com/opinions/2020/05/29/heres-why-we-dont-see-protests-when-police-unjustly-kill-white-people/,80,1437
here before the purge 😍✨ happy election day,Same :relieved_face:,1,24
This is 2020 and we just attacked Iran ...       this did not age well 🤷‍♂️,They attacked first.,15,168
This beat is insane...,Cxdy you’re the goat of YouTube producing,20,2295
"no matter what happens tomorrow, we all screwed",hahahahah yes. im so scared.,15,93
"Nobody:

Me in my tank in Iran:",:face_with_tears_of_joy:,3,49
This song  is literally what’s happening in America right now 😔,"bro isnt he the guy community named ""troy""? idk thoe they look the same",4,71
I came here after George Floyd was murdered by a white Police Officer. This is America.,"And the protest turned into mayhem, the protestors used his death to rob, burn, and loot innocent businesses",348,16351
May God be with us all tonight...,yess im praying for all :red_heart_selector:,1,35
This song expresses the deep message of racism's relationship with America. This song is really true and displays the effect of racism. Donald Glover is amazing,And thank the producers of this music video too.,1,25
BIDEN 2020,BIDEN 2020 BABIES,1,6
I'm the only one who thinks that is accurate to play this during elections?,@Frederico Rodriguez They played it on something related to the elections and etc today.,1,22
On repeat for the next 48 hours...,same,1,12
Did the US election bring you here on Nov 3rd?,Yes,1,5
Who's here on election day,meee,1,4
Am I the only one listening to this on Election Day?!🙈😂,Nope,2,8
So I’m the only one here on Election Day,No ur not,1,3
This song should be played in the streets when the civil war starts.,Facts,2,17
Playing on election day.,Jajajajajajj TRUEEEE,1,4
"1:55 shot 5 bullets, killed 10 people. This is america",Aks74U fires from a closed bolt he shot six times.,1,3
POV: they just called the election and the country has erupted into civil war,Crap,3,24
So that's America,Yeah pretty much.,118,2640
"This is coming from a 38 year old (drunk) white guy on election night. Yeah, it seems you were absolutely right, this does seem to be America and I'm not sure that I want to be a part of it any more.",Same,1,3
Who else is watching this on Election Night?,Yup. :folded_hands::disappointed_face:,1,3
This is an unofficial anthem of United States. These days more and more correct.,"Actually Ill give you the anthem 
*In the tune of national anthem* remember put your middle finger on your heart

Oh say can you see
 all the racists in sight 
what so proudly we hail 
as our bodies are swinging 
whose bright lights and black n' white cars
 through The streets come to fight  
oh the triggers we watch  as their deaths are still streaming 
 but the bloody red stare
 the brown fist in the air gave proof through ,The night that the pigs were still scared
 oh say does that bullet wound still bleed 
on the hands of the free
 & the ground at your feet.",2,13
Stop watching Donald Glover and just try to stare at the stuff going around him 😂🤣🤣😂,but his moves smooth asf and his rapping is too fire,1,2
Anyone listening before election day and just thinking about everything that happened this year and all the scary things that can happen tomorrow.,i am,2,6
Listening on election night,Same,3,5
I see everyone watching during the election 😂,Lmao,3,18
"this song never hit harder than its hitting right now, protect yourself guys its only getting started","The racism isn’t getting worse, it’s just getting filmed",1,118
Please go vote. Your vote matters.,@Wai Go Vote. Your Voice Matters.,3,7
who's here 2020?,"oh fuck
now this:",1,3
Who is listening in WW3,this is the way,1,3
The riots that are soon to come made me return to this video,I know right....,1,4
who's here on Nov 3rd (election day) ?,Meee- Biden is winning so far :blue_heart:,2,3
"“This is America”
Me: This is sad.
Me: This is bad.
Me: This is Racism.
We all deserve our equal rights.
Your vote matters.","I am from Latin America and the problems for you Americans are so minimal compared to those of us with our third world countries, value your country",6,15
Who else is watching this on Election Night??,yeah,3,28
It felt like he just instantly grew up. With a full beard,kids'll do that to ya,1,2
fun fact: some people don’t like this song bc it’s the truth.,chill out. YOU CANT HANDLE THE TRUTH,35,1280
Today’s the elections. I’m scared.,Same. Woke up at 12:20am from a nightmare. Haven't eaten all day. Only had coffee. This day is stress ful. I hope this nation cleans the House.,2,2
Everyone go vote!!!,@Wai yes .,4,6
"0:54 

This is a....",America~,1,2
"#BlackLivesMatter
#LetsDoThisTogether
#WeCanStopRacism
#StopFiring
#WeCanLive",Preach!,8,311
"“Ok mom I’m gonna head to the war zone”
“Don’t you mean school”
“What’s the difference”",welcome to america ^^,17,2885
"If you're listening to this song in this horrible year, you're a legend.",1k,44,1643
i’m not american but seeing this video become real life gives me chills.,Its always been real,15,507
I know this has so many hidden meanings but honestly can we talk about how good this song actually is,3:14 tho 1.. 2.. 3... GETDOOWN!,24,3161
If Trump wins again be prepared for this song to blow up again 💀,Biden is winning so far :blue_heart:,2,8
It's crazy how this song was made to show people messed up society is but all people could do when this came out was make memes that ignore the actual message. It's honestly annoying af,"Exactly, looking back its shocking but not surprising. Everything's seems to be a joke for the simple and closed minded",20,829
Justice for George Floyd whose last words were “I can’t breathe”,Im picturing that in my head with a shakey voice. Oh god. Im starting to tear up again. Icamt sse anything iits blurry,1,117
Turns out this really is America.,"This been America, America has always been like this",1,3
See you guys in 10 years when this is in everyones recommended,In my virtual headset that's used just as much as how we use phones today.,7,752
Who’s here for the November 3rd election?,Everyone,12,759
This is the theme song of the Purge aka US Presidential Election 2020.,Stay safe y’all,7,500
"What a beautiful way to express one's opinion and also to show, not only americans, but the whole world, what its like to be black in the US. Outstanding work, great song, perfect performance and amazing references, present you Donald Glover!",V:,1,376
One day this will be in the curriculum of U.S. history classes,"Until then, it is just American classes.",9,283
Been rocking with Gambino since Camp. He’s NEVER let me down since.,Man like,46,2128
"✊🏻✊🏼✊🏽✊🏾✊🏿No to racism, we are all one",Its meaning is for 4th of July dumbass,11,10
"Gambino: This is America
Me: Laughs in british*",Laughs in Danish,20,318
I'm just here b4 all hell breaks loose tomorrow,Yup same,6,208
"This is America
and then, 




Call Me Maybe",Then *,6,33
make the right decision tomorrow. may god be with us all.,yeah i voted trump,7,82
"Can't wait for tomorrow, very excited for civil war 2: Electric Boogaloo /s",Same I'm going up to Canada or South to Mexico,2,61
His dancing is *hypnotic*,I agree 100%,24,2091
"So weird I never would have noticed the masks on the kids recording the on their phones, but now since it's fucking 2020 I notice masks right away. I wonder if in this case it's more that the people recording don't have voices.",Holy shit I just noticed that. He really predicted 2020 :exploding_head:,1,4
well that escalated quickly,that meme is from like 1988 how old are u?,24,2094
The fact that this is 2 years ago it feels like 4 months since it came out😮,Fr,1,3
Literally this is 2020 in a video. He’s a Psychic.,Yeah,9,25
"Eminem white America:
This song: 
Eminem white America: You mock me lol",Made no sense <.<..,8,50
All we need is love in this world 🌎 We all are family 🙏 This is not only America but the entire world. RIP George Floyd 🙌,Nah its basically just America lol,5,93
"""America is a free country"" they say.","america is continent, no country",3,19
JUSTICE FOR GEORGE FLOYD. JUSTICE FOR BREONNA TAYLOR. JUSTICE FOR AHMAUD ARBERY.   JUSTICE FOR   TAMIR RICE.   JUSTICE FOR   TRAYVON MARTIN.   JUSTICE FOR   OSCAR GRANT.   JUSTICE FOR   ERIC GARNER.   JUSTICE FOR PHILANDO CASTILE.   JUSTICE FOR   SAMUEL DUBOSE.   JUSTICE FOR   SANDRA BLAND.   JUSTICE FOR   WALTER SCOTT.  JUSTICE FOR    TERRENCE CRUTCHER.,Like KILLED FOR WALKING WITH SKITTLES THATS BS,83,751
"me: **tries to dance like him**

results: _cringe._",Same bro,8,648
dislikes are given by american nationalists{who support nationalism},Dam,1,12
0:40 When you are about to sneeze,"When 10 horas this is america :v?
Y que pedo hace aqui leoreo >:v",56,2108
Troy and Abed in the morning ain’t rated PG no mo?,troy and abed died with his childish gambino name,22,2106
"oh 2018, how i miss you",Shit was no different then,1,4
Unfortunately this song will be the soundtrack for Black Americans for a long time..,"Not on my watch. I'm only a teenager but once I'm an adult, I'm not going to have another second of this terrible injustice done to another minority.",11,474
Lets be honest. This did not pop up in your recommended in 2020 you searched this,"No, this in my recommend",30,1284
"This is AMERICA, GUNS in my AREA.


PROTECT *KIDS* NOT *GUNS*",América is a continent not a country.,7,95
bruh white boys really trying to be opressed on tiktok using this song,fr then all the pocs be like: :eye::mouth::eye:,26,530
"the dislikes are from pressed americans who refuse to admit this is actually true
edit: i actually meant this as a joke and i wanted to see how people would react but oh well, also i said this because, from what i see on the news, america is a really bad place.
edit n.2:I am NOT saying that America is the only bad country. I acknowledge that a lot of other countries have bad sides, but America is by far the worst. I have been harassed 4 times in there for what? Holding hands with another boy. I am saying that America is probably the worst country I have ever seen (yall dont need to agree)",Lex I mean it’s really not,54,1634
Masterpiece,I beg to differ,18,263
Why does this video even have dislikes. Maybe its just the 10 year olds who are to young to understand what this song even means tbh...,Because we have brains and don't just blindly follow the mainstream media.,2,100
This song has already aged like fine wine.,the only part that makes sense are the riots lmao,17,1009
"I came here to watch this tonight after the murder of another Black man, George Floyd, by now ex police officer Derek Chauvin in Minneapolis yesterday. Hope he’s prosecuted to the fullest. 

I live in Minneapolis and contacted the governors office via phone/email, signed a petition to prosecute Derek to the fullest, shared and talked with my non white friends and asked my black friends if they wanted/needed support. I also filed a complaint against Derek. We all need to do more to support Black people/bodies in the US. None of this feels like enough. None of this is new.","What is there left to do, they've played a part in everything in the U.S.?",6,88
"I know everyone else is talking about the symbolism and memes and stuff, but is nobody else appreciating how well he can dance???",IKR,31,1343
who's here after watching community on Netflix?,Me,67,1400
"The fact that is not just America                    
✊🏻✊🏽✊🏾✊🏿",Its the world :pensive_face:,5,245
"“How much symbolism do you want?”
Donald Glover:  Yes.

Edit:  Holy cow!  Over 1k likes?? Thanks guys!
Edit:  2k likes???  Thanks!",I dont get it :)?,16,2020
"I cant breathe

This is America","i didn’t get the reference at first but oh my god, i really hope everyone gets their justice",2,262
"I am brazilian
JUSTICE FOR AGATHA (8 YEARS)
JUSTICE FOR JOÃO PEDRO(14 YEARS)
JUSTICE FOR JENIFER (11 YEARS)
JUSTICE FOR KAUAN (12 YEARS)
JUSTICE FOR KAUÃ(11 YEARS)
JUSTICE FOR KAUÊ (12 YEARS)
JUSTICE FOR KETHELLEN (5 YEARS)
JUSTICE FOR MARIELLE ( brazilian ociologist and politician. Affiliated to the socialism and freedom party, she was elected councilior of Rio de Janeiro for the 2017-2020 legislature, during the 2016 municipal election, with the fifth largest vote  she was killed with for shots to the head in a car with the driver, she was lesbian, black and poor
•every 23 minutes, a black person is killed in the Brazil
•Brazil is the country that killsmore LGBTs in the world
•our president is racism, nazi, homophobic, sexist, almost dictator, corrupt, fatophobia, idiot, donkey, shit, pig, friend of Trump. I HATE YOU, BOLSONARO.also, he did a live drinking milk (yesterday).
 I hate my country
I'm a kid, so I probably have a spelling mistake, but I don't care.","Damn, do you have discord",5,177
Hearing this song again after witnessing the events in America is truly chilling. #BlackLivesMatter,#BlackLivesMatter,7,414
This song came out 2 years too early,Bulls*it,2,2
This song is probably making more sense for a lot of people right now,The song is spot on.,1,114
"1:44 ""vota bolsonaro""","Se tá louco ""vota haddad""",3,1
"Americans: *America is a free country*       
2020: haha, good one.",Greatest joke ever,4,366
"This song isn’t becoming more and more accurate, it’s always been accurate it’s just being brought to light more and more. “Racism isn’t getting worse, it’s getting filmed” - Will Smith","""Racism is not dead, but it is on life support — kept alive by politicians, race hustlers and people who get a sense of superiority by denouncing others as 'racists.'
-Thomas Sowell",5,551
"They said 2020 would be a movie, they didn’t say it would be GET OUT part 2 and we the cast",Lmao:rolling_on_the_floor_laughing:,3,243
People still commenting 1 year later,QuiroZ Lol just like u,39,1493
It's scary how accurate this song is becoming,Yeah it's crazy because this really is America.,8,291
"It’s June 3rd 2020

This is America...",and thats my birthday,4,534
Don’t let English teachers find this video.,Christopher Xie mine did ;-; that’s why I’m watching this,24,1259
IN THIS MOMENT THIS IS OUR NATIONAL ANTHEM,Lmao,2,147
america is just a 3rd world country with a gucci belt on,Nah they a 1st world country with hella holes n shit,7,206
"I’ve been listening to this song everyday for the past week. Nobody deserves to die because of the color of their skin. We should be more evolved beings and everyone says we’re the smartest animals on the planet, but we treat each other like this? If we are so smart then we shouldn’t be killing each other because we look different, I’m embarrassed to be American. Rest in Peace Breonna Taylor, Rest in Peace Ahmad Arbury, Rest in Peace George Floyd. We need to change, and be better.",:raised_fist_dark_skin_tone::raised_fist_medium-dark_skin_tone::raised_fist_medium_skin_tone::raised_fist_medium-light_skin_tone:,6,364
You can’t spell America without erica,Who is erica?,144,5937
"When this video first came out I was so blinded and brainwashed into thinking that this was just an over dramatic stretch of what reality in this country is. Over time and especially recently I’ve waken up. THINGS NEED TO CHANGE. THE RACISM, THE SEXISM, THE ANTI SEMITISM, THE VIOLENCE NEEDS. TO. STOP.",agreed what should matter is the earth ad  how we can help each other out nit see our differences we all where created the same,31,823
"long live
 
George Floyd
Sandra Bland 
Emmett Till 
Trayvon Martin 
Antwon Rose Jr
Tamir Rice 
Ahmaud Arbery
VonDerrit Myers Jr
Oscar Grant III
Philando Castile 
Breonna Taylor 
Sean Reed 
Michael Brown 
Stephon Clark
and anyone else who has lost their lives because the colour of their skin. 
i am not black but i will always stand with you. no justice till we’re equal. #blacklivesmatter",Adama Traoré,3,326
"The guns are carried away carefully, and the bodies are dragged",Great observation! Didn't notice that,41,3253
This is America!Police kill black man using fake 20 dollars.,I saw a tiktok that said it was actually real.,4,371
"Me: ""I want go to America"" . 
YT: ""Hey you, watch this"" 
Me: ""Germany is nice too"" .",@Default Name lmao this video is like an electric fly swatter for triggered right wingers,469,21342
"This song is more relevant than ever. This truly is America.

Edit: Jesus Christ, the replies are interesting to say the least.",Hal Moore *laughs in maori*,37,1150
Why yourtube recommend this to me *_*,Bruh,1,2
"2015: We Gon be Alright
2020: This Is America",Indeed,1,294
This not a song it’s a documentary of what happens and its sad.,"This is America - bad music performed by talentless hacks, propped up by far left overlords driving a politically divisive message based on name calling and misinformation.",8,856
This is STILL america,Who cares,4,326
I came here after george floyd death to see what america is😢,And the fact that the most of us thought it was the dream country :woman_tipping_hand_light_skin_tone:..... I feel so fucking stupid,7,96
"Somebody: Talks in spanish

Karen: This is America",This is too true.,34,900
"Never a more appropriate song than this, watching America burn to its knees.","Texas is fine though, I used o live in chicago, and I loved it, but when my parents moved us to Texas I realized how fucked up the world is and how perfect some areas are.",1,204
"""Racism isn't getting worse it's getting recorded""",Will Smith right?,17,871
"18y old : Can i drink alcohol?

America : no

18y old : So what can i do?

America : Best can i do is gun",Oof-,3,349
"*This isn’t “United States” of America anymore, its just America.*",Time to reestablish the republic of Texas,2,199
“I don’t see the American dream; I see the American nightmare“. -Malcolm X,Malcolm idiot*,1,121
"Europe: So uncivilized
America: Weapons are my religion","going strong with that star wars quote, i see.",4,204
"This

Song has a lot of meanings there dance is the dance of life and guns are treated more then humans and that’s a major problem in the USA and the pants he’s wearing is a school uniform and it’s the school shootings and the church shootings and the guy in the hoodie riding the horse is a simble of death and harm and racism",The way he is standing when he shoots the guy at the start represents jim crow,4,143
"Cop: **sees a black person j walking**

so anyways I started blasting",Exactly.,1,28
"Who randomly remembered this song, just me?","10,000 subscribers with no videos challenge me",1,15
Everyone is running but the students are dancing because they’re used to it,"Madrid 9 they ain’t use to it because only 6 happen average every year for over 30,000 schools in the USA",1,15
ima tell my kids this was Martin Luther King Jr.,Matt From Wii Sports Martin Luther king jr was republican,2,16
"WE NEED CHANGE !!!!!!!!!!!!!!!!!!!I’m not black, but I see you.
I’m not black, but I hear you.
I’m not black, but I mourn with you.
#BlackVoicesHeard ✊🏿✊🏾✊🏽","Justice for George Floyd!!!! from a white conservative. BLANTENT MURDER and all of those bastards just stood there. ""FEAR""(From quiet racism)  of a big black man caused that officer to treat him like a dangerous snake or animal. #MURDER",1,91
"This is *United States*  
No. *“America”*










Soy Mexicano xd",XD,1,2
"Pause at 3:34 and look to the bottom right. You can see a mysterious man holding two bottles of water. This is the spirit of health, looking over the black man in his time of trepidation and sufferi- nah i'm just playin it's a crew member lol","Lol i was like "" r u dumb?"" Until i saw ur last sentence",101,4682
"0:52 *soviet officer executing a nazi, 1939 colorized*",DoomSlayer2016 But after the execution he said “This is America” IS HE AN AMERICAN SPY?!?!?,1,2
Who is here after Gorge Floyd’s death 😔,:raised_fist_medium_skin_tone::raised_fist_medium-dark_skin_tone::raised_fist_dark_skin_tone:,4,94
THE ELECTION IS IN 4 F%CKING DAYS YALL 😐,Trump 2020 :United_States:,1,2
Iraq soldier: You see that plane it kinda scary. :A10:.,Turkey : hahahahah drone go brrrrrrrrr,3,2
black lives matter. they always have. always will.,Bro this song wasent made for this bruh,7,94
This will remain a timeless piece because this is forever relevant.,why?,25,1203
"“This a celly, that’s a tool” This line hits hard because people wouldn’t know about the murders unless they had phones","It also has another double-meaning as guns are often referred to as ‘tools’ in a lot of street slang. People have been shot by police for pulling out their cell phones and police “mistake” the phone for a gun. 

“This a celly-“ is what the person pulling it out would be thinking, “-that’s a tool” is what the cop would be thinking before they shoot.",29,1215
"one thing i noticed is that when there is a full-front display of violence, such as when he shot the man or when he shot the group, it almost IMMEDIATELY moved on to something more entertaining like dancing. that says a lot about the way american people react to tragedy, ESPECIALLY when that tragedy is related to POC. it’s almost immediately forgotten about, then we move on to the next, more entertaining thing without processing the awful things that happen. that speaks volumes to me about how we deal with things here.","Enlightened perception. Felt the same way. We’re so distracted and overwhelmed as a county. The way he dances and his facial expressions were so over exaggerated almost akin to a minstrel show, cartoonish,  speaking to how america perceives POC’s as entertainment, and we’re still out here putting on a show. It’s filmed in a garage, feels gritty, murder and chaos  juxtaposed with all manner of black folks entertaining. There’s so much to talk about in this video. Wild. DG is brilliant.",13,353
"Walmart took out all video games with violence but not the gun section.

This is America",Seriously,456,34098
"BLACK LIVES MATTER
This song fits perfect with the recent events.
Let's pray for George Floyd.",Yes,2,231
*this really hits differently now.*,Bro im watching a bunch of times and seeing how all the small details he adds have something to do with what is happening,1,110
*when its cold outside and u pretend your breath is smoke*,xd that shit hilarius,8,1000
"me before : imma just go to school


me after : Imma just stay home.",@Richard Istrate so its america.,5,1594
This should be the National Anthem for America. 🇺🇸,"Oof, you be saying we should be blasting a song that talks about the uttered shit and anarchy of America.",22,436
Who’s here during the riots and George Floyd protests,All the way from England bro. The shit I'm america is horrible rn,10,225
"This was a warning, and we didn’t listen.","I definitely agree with you... Hence why I always ask myself what could have been said earlier on to prevent this from happening and how much earlier should it have been said, 10 years ago? 15, 50:thinking_face:100 years ago?
But then it also dawns on me that #BLM has been around and these discussions have been made all around the world, I think the biggest issue is that people are listening but they're not comprehending and they have a serious lack of empathy,,,, which possibly  is the issue that's always been there:woman_shrugging_selector:, because now that I think about it these tragedies are more recorded now and  people are moved to act because they see all of the wickedness that they've been oblivious to. It's great that we're uniting to speak out and challenge each other to see the truth, my only hope is that these individuals will choose to understand the true purpose of the movement that they're listening to.",4,267
"what if when he says “that’s a celly, that’s a tool” he means that when black people are holding a random object, certain people automatically get scared and think it’s a weapon","I think he’s referring to cell phones being a tool in fighting police brutality; by recording the police on a smart phone, you are collecting evidence and (hopefully) holding them accountable.",18,1067
and parents question why kids don’t want to go to school.,i just don’t wanna go so I can sleep..,27,2411
Everyone gangsta till the silent kid starts singing this in class,Oop-,77,9543
"it’s sad how from when this song came out, still nothing has changed.",Many others tried to save america with heart changing music  but they now lie in peace. This is america because its their america not ours. With a snap of the fingers theyll rid anyone.,4,171
When you realise that this song is describing the current situation in USA. Corruption is at its peak,I’m sorry you didn’t realize this when the song first came out but I’m glad your eyes are open now,2,241
I wish this song would stop being relevant #GeorgeFloyd,poetic justice,1,108
"We came after the recent events in America and the killing of a black man. It is racism against them. The people of Yemen love you, black people. 2020 /5/29",Hi,6,203
It's insane how this song becomes more and more relevant as time goes on.,"Yeah like this Amber case can not even eat icecream in my own home, cop comes in not even hers and shoot you dead. And now she the victim.",17,2166
This is a strong message spread artistically: America needs help,Move to that better country.,28,1211
this hits different.,ONG,1,303
"This is America .
 I can’t breathe.

Here for justice .

RIP",#blacklivesmatter :oncoming_fist_light_skin_tone::oncoming_fist_medium-light_skin_tone::oncoming_fist_medium_skin_tone::oncoming_fist_medium-dark_skin_tone::oncoming_fist_dark_skin_tone: :two_hearts::two_hearts::two_hearts::two_hearts::two_hearts:,1,99
"AMERICA A STOLEN COUNTRY. 




THIS IS AMERICA.",No its not.....,9,91
Yall in america pronounce *school* weird you say it like *shooting range*,Naw I've been to both. The range is safer.,11,1203
"0%naked girls
0%dirty language 
100%murder




Oh damn,thanks for likes!",check this mate - https://www.youtube.com/watch?v=4p1ZFCppKvk - this is america but every word is a google image,24,1444
"Store employee: “Please put on a face mask”

Karen’s: *This is America*",NOOOOOOOOOOOO,57,3051
THIS VIDEO IS THE CEO OF 2020,?,1,2
His moves still better than girls on TikTok,Trust,7,467
Notice that the guns are handled carefully or cradled compared to the dead bodies that are just roughly dragged away!!!! Deep sh*t for real!!!!,"cheetara25 omfg u r so right. i was just thinking, what do they a cloth just for a gun wtf??",7,162
"Mom: Why are you wearing a bulletproof vest to job?
Me: Are you serious? THIS IS AMERICA!",Hahahah,18,1257
Listening on the night of our election. Praying our humanity shines bright 💕,:red_heart_selector:,1,6
Good to see that Troy finally finished his cruise around the world and started a music career,did u just spoiler bro ? ....,25,1395
"This the only song that describes what América truly is. 
Who is here after the Death of George Floyd? 
#Blacklivesmatter.",I am :oncoming_fist::oncoming_fist_light_skin_tone::oncoming_fist_medium-light_skin_tone::oncoming_fist_medium_skin_tone::oncoming_fist_medium-dark_skin_tone::oncoming_fist_dark_skin_tone::oncoming_fist:,4,204
"Imma be honest, this song is absolute trash, the video on the other hand 🔥🔥",This is everything but a song dude. Its a message,1,1
"Apparently I’m not the only one who’s here after the shootings.

This really is America.",I literally think of this after every shooting now,437,36043
Best music video I have ever seen.   Period.   Without question.,True,1,2
"I am white but I see you
I am white but I hear you
I am white but I'll fight with you
✊🏽✊🏾✊🏿❤✊🏽✊🏾✊🏿",:raised_fist_medium_skin_tone::raised_fist_medium-dark_skin_tone::raised_fist_dark_skin_tone::red_heart_selector::raised_fist_medium_skin_tone::raised_fist_medium-dark_skin_tone::raised_fist_dark_skin_tone:,11,100
This is America is basically Pumped Up Kicks 2.,Probably,14,1323
"Did childish gambino predict 2020? People rioting, police everywhere, death running through the streets, cars on fire, people with masks? 😳😳",Yep he did,20,189
It’s scary because everything gambino talks about in the song  is true,"As a European, I didn't really ""get"" this clip at the time it came out. Watching this clip now, it all makes sense. #revolution",3,267
"Troy made quite a life for himself after community college. Cool, cool, cool.


Edit: Thank you for all the likes guys! The more community fans the better.",U WATCH IT 2,30,1215
os gringos não vão entender nada,Kkkk pse,1,1
Black or White. doesn't matter! We are people! We are siblings!,"@Best Edits dont talk like that, sososoosososos many white people support black people right now, idk why u have to word it like that",8,111
"“This song is the true representation of what America is like now.”

Donald Trump: Execute order 66!

American Police: It will be done my lord. 

“We were following orders”",Tf does Trump have to do with this? He doesn't have jurisdiction over city police chiefs. He did the most he could do by ordering the fbi to launch in investigation into it,11,106
"Gambino: releases a song about America 

America 2 years later:",America for the past 243 years:,4,99
When you want to tell a message about society through a song but everyone memes your song,0:49 - 0:55,32,2721
"When you die of an perfectly curable illness, 'cause you have no health insurance.

This is America","When you die of brain cancer becuase you dont live in the medical capital of the world.
This is america",92,1229
You really have to watch this more than once. Gambino's exaggerated movements distract you from the violence in the background. It's a metaphor for how Americans use the media as a distraction from violence.,"How does it distract from the violence in the foreground? It seems the metaphor might be a little deeper than ""media distracts us from violence"" when the news media is often overt violence, and so is the rap scene... how does rap distract from violence when it constantly references it? How does a superhero movie distract from violence?",22,713
"Producer: How many hidden messages you want in this video?

Donald Glover: *YES*",frrrr it’s like my 19383727th time watching this and i’m still finding things,16,1016
Don't know if this has already been said but the kids dancing around him are phenomenal :),It’s Will from FBE!!,19,5877
"They'd arrest hundreds of protesters across the states who are protesting for all right reasons just to not arrest 3 of their own. THIS IS AMERICA. 
#BlackLivesMatter",this.,2,100
Sorry we didn’t take this seriously the first time,Tik tok made it :collision:,7,346
"- The 17 seconds of silence represent the 17 victims of the Parkland shooting
- The church choir represents the Charleston Church shooting
- The pose he makes after shooting the man in the beginning is a reference to Jim Crow
- The hooded figure on the white horse is a reference to the horsemen of the apocalypse 
- The delicate treatment of the weapons used represent how America favors guns over people's lives
- The eccentric dancing represents how the media and entertainment distract you from the real issue
- The people on the top balcony with phones/masks represent how most would rather record than to help
Feel free to add more references",Damn,7,266
If you delete the dancers and Childish Glover it looks like Minneapolis right now,right,4,208
"America, where everyone who isn’t white and straight is disrespected and potentially killed ☺️✨ *The Land Of The Free*",Yes dont we just love america :smiling_face_with_3_hearts::smiling_face_with_3_hearts::smiling_face_with_3_hearts:,13,432
